2017-02-07 10:13:01.848781 -- Unable to retweet id: 299530651776999424
2017-02-07 10:13:02.063584 -- Unable to retweet id: 299542215292755968
2017-02-07 10:14:01.280782 -- Unable to retweet id: 299530494457020417
2017-02-07 10:14:01.410224 -- Unable to retweet id: 299530651776999424
2017-02-07 10:14:01.545216 -- Unable to retweet id: 299542215292755968
2017-02-07 10:15:01.827241 -- Unable to retweet id: 299530494457020417
2017-02-07 10:15:01.959863 -- Unable to retweet id: 299530651776999424
2017-02-07 10:15:02.092827 -- Unable to retweet id: 299542215292755968
2017-02-07 10:16:01.303110 -- Unable to retweet id: 299530494457020417
2017-02-07 10:16:01.471888 -- Unable to retweet id: 299530651776999424
2017-02-07 10:16:01.602452 -- Unable to retweet id: 299542215292755968
2017-02-07 10:17:01.821107 -- Unable to retweet id: 299530494457020417
2017-02-07 10:17:01.957631 -- Unable to retweet id: 299530651776999424
2017-02-07 10:17:02.167883 -- Unable to retweet id: 299542215292755968
2017-02-07 10:18:01.405589 -- Unable to retweet id: 299530494457020417
